Site,Treatment,Location,Block,Year,Date,Days.After.Planting,    total.flux,  R^2,Rsqr_cleaned,ParameterA,ParameterB,ParameterC
Mandan,BAU,E1,E,2021,831,96,0.986086,0.310327,NA, 'A': 2.1638932418510617, 'B': -4.97406141078737, 'C': 4.889834720154517
Mandan,BAU,E1,E,2021,929,125,1.83576,0.927442,NA, 'A': 0.9363289180953747, 'B': 3.097624890378851, 'C': -2.7010934954749155
Mandan,BAU,E2,E,2021,726,59,3.58366,0.833544,NA, 'A': 3.753241554258131, 'B': 6.52634614927183, 'C': -13.457505128601962
Mandan,BAU,E2,E,2021,831,96,3.53999,0.998749,3.53999, 'A': 20.317493645786424, 'B': -8.914155469906012, 'C': 7.0583517714135136
Mandan,BAU,E2,E,2021,929,125,1.97602,0.916669,NA, 'A': 2.1532101754339608, 'B': -1.7291648471868926, 'C': 2.2528531321807743
Mandan,BAU,E3,E,2021,726,59,3.89873,0.978361,3.89873, 'A': 5.7100656412715285, 'B': -0.9329501393736465, 'C': 0.18370686580590678
Mandan,BAU,E3,E,2021,831,96,4.08242,0.957222,NA, 'A': 6.6168686364239075, 'B': 6.100302581968279, 'C': -17.379021590926396
Mandan,BAU,E3,E,2021,929,125,2.30083,0.613154,NA, 'A': 3.3616497063173325, 'B': -1.7799274766114659, 'C': 1.5025550048233836
Mandan,BAU,F1,F,2021,726,59,9.62899,0.997384,9.62899, 'A': 64.85563769182727, 'B': -9.708109589638616, 'C': 7.389374562284985
Mandan,BAU,F1,F,2021,831,96,1.55159,0.791611,NA, 'A': 5.091101978687123, 'B': -7.364613404748801, 'C': 7.014503858146592
Mandan,BAU,F1,F,2021,929,125,2.6473,0.748652,NA, 'A': 6.621420755422872, 'B': -5.240968355674939, 'C': 4.877620147973883
Mandan,BAU,F2,F,2021,726,59,10.085,0.997724,10.085, 'A': 95.63423314042475, 'B': -13.449086241236119, 'C': 11.274719611473024
Mandan,BAU,F2,F,2021,831,96,2.31613,0.782239,NA, 'A': 4.1133200246239205, 'B': -2.5814247196436066, 'C': 2.0756091106038563
Mandan,BAU,F2,F,2021,929,125,3.01381,0.900102,NA, 'A': 7.932875582431573, 'B': -5.074750242772552, 'C': 4.472068756914435
Mandan,BAU,F3,F,2021,726,59,11.2844,0.994259,11.2844, 'A': 150.5567649753796, 'B': -17.4151116536906, 'C': 14.947017748000931
Mandan,BAU,F3,F,2021,831,96,1.63041,0.433911,NA, 'A': 1.3868309130367777, 'B': -0.31534470115130325,
Mandan,BAU,F3,F,2021,929,125,2.10252,0.483285,NA, 'A': 3.1578133102022656, 'B': -2.228309996118731, 'C': 2.081931390676698
